id,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,age,anydoc,attend,born,childs,class,cohort,condom,conmedic,consci,degree,doc1,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc2,doc20,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doclist,docsui,educ,fund,fund16,godoc,harmgood,health,hlthinsr,hmo1,hmo2,hmo3,hmo4,hmo5,hmo6,hmo7,hospice,income98,knwnproz,letdie1,marital,natdrug,natdrugy,natheal,nathealy,notreat,nummen,numwomen,painmed,partners,partnrs5,partyid,polviews,proz1,proz2,proz3,proz4,proz5,proz6,proz7,proz8,proz9,prozac,prozfor1,prozfor2,prozfor3,prozkid1,prozkid2,prozkid3,prozslf1,prozslf2,prozslf3,prozslf4,psycdrct,psycfdoc,psyckid1,psyckid2,psyckid3,psycmed1,psycmed2,psycmed3,psycmed4,psycmed5,psycmed6,psycmed7,psycpsyc,pubagncy,race,reg16,region,relatsex,relig,relig16,religid,religkid,reliten,res16,rightref,rincom98,sei,sex,sexfreq,sexsex,sexsex5,size,srcbelt,stress,suicide1,suicide2,suicide3,suicide4,termecon,termemot,terminal,termpain,termpay,termrel,termvig,testdrug,trustsci,usedmntl,usedproz,usepsyc1,usepsyc2,usepsyc3,usepsyc4,useskill,wordsum,wrkstat,xnorcsiz,woman,region4
2130,,,,,,,,,44,yes,every week,yes,1,working class,1954,not used,only some,only some,bachelor,agree,,strongly agree,uncertain,disagree,uncertain,uncertain,uncertain,uncertain,agree,,agree,disagree,uncertain,agree,agree,agree,disagree,agree,disagree,yes,strong disagree,16,,liberal,,,good,yes covered,disagree,agree,not agree/dsagre,not agree/dsagre,agree,strongly agree,strongly agree,stongly agree,$50000 to 59999,no,yes,widowed,,about right,,too little,stongly agree,3,0,stongly agree,no partners,no partners,independent,conservative,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,1,,,dk,dk,dk,cant choose,cant choose,cant choose,cant choose,very likely,somewht unlikely,somewhat likely,mixed,very likely,agree,strongly agree,dont know,strongly agree,strongly agree,agree,disagree,dont know,,black,foreign,south atlantic,"yes, in relationship",protestant,protestant,,,strong,city gt 250000,stongly agree,$50000 to 59999,37.700001,female,not at all,,,16,"suburb, 12 lrgst",often,no,no,no,no,stongly agree,not agree/dsagre,two or more,dont know,stongly agree,dont know,vignette d,1,,no,no,somewht unlikely,mixed,mixed,somewhat likely,a lot,8,working fulltime,"suburb, lrg city",Woman,South
2131,yes,,yes,yes,yes,yes,,yes,45,,sevrl times a yr,yes,2,working class,1953,,,,junior college,,,,,,,,,,,,,,,,,,,,,,,16,liberal,fundamentalist,no,,good,,,,,,,,,,,,no,divorced,,too little,,too little,,0,0,,no partners,no partners,not str democrat,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,south atlantic,south atlantic,,none,protestant,,,no religion,"country,nonfarm",,$40000 to 49999,63.5,female,not at all,,,16,"suburb, 12 lrgst",,yes,no,no,no,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,South
2132,,dk,,,,,dk,,28,,lt once a year,yes,2,working class,1970,not used,hardly any,hardly any,high school,,,,,,,,,,,,,,,,,,,,,,,14,fundamentalist,,no,strongly agree,good,,,,,,,,,,$40000 to 49999,,yes,widowed,,too much,,too little,,,17,,1 partner,3 partners,independent,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,south atlantic,south atlantic,"yes, in relationship",protestant,chrsitian,,,,city gt 250000,,$15000 to 17499,39,female,2-3 per week,exclusively female,exclusively female,16,"suburb, 12 lrgst",,,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,South
2133,no,,no,yes,no,yes,,yes,33,know know,never,yes,0,middle class,1965,used last time,a great deal,a great deal,high school,disagree,agree,agree,strong disagree,strong disagree,strong disagree,strong disagree,strongly agree,strong disagree,strongly agree,uncertain,uncertain,uncertain,strong disagree,agree,agree,strong disagree,uncertain,disagree,uncertain,yes,strong disagree,12,fundamentalist,fundamentalist,,,fair,yes covered,agree,disagree,agree,strong disagree,strong disagree,disagree,disagree,disagree,,no,,never married,,dk,,too much,dont know,2,0,strong disagree,no partners,no partners,"ind,near dem",moderate,strongly agree,strongly agree,strongly agree,agree,strong disagree,not agree/dsagre,strong disagree,strong disagree,not agree/dsagre,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,very likely,very unlikely,dont know,dont know,dont know,strong disagree,strong disagree,agree,strongly agree,agree,strongly agree,agree,very likely,,black,south atlantic,south atlantic,"yes, in relationship",protestant,protestant,,,not very strong,city gt 250000,disagree,,34.599998,female,not at all,,,16,"suburb, 12 lrgst",always,,,,,strong disagree,strong disagree,no,strong disagree,strong disagree,strong disagree,vignette f,1,,no,no,somewht unlikely,somewhat likely,very likely,very likely,almost none,3,working fulltime,"suburb, lrg city",Woman,South
2134,yes,,yes,yes,yes,yes,,yes,62,,never,yes,5,middle class,1936,,a great deal,only some,high school,,,,,,,,,,,,,,,,,,,,,,,14,moderate,moderate,no,,good,,,,,,,,,,$50000 to 59999,,,divorced,too little,,too little,,,0,0,,no partners,no partners,not str democrat,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,middle atlantic,south atlantic,,catholic,catholic,,,not very strong,"country,nonfarm",,$50000 to 59999,76.300003,female,not at all,,,16,"suburb, 12 lrgst",,,,,,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,South
2135,no,dk,yes,no,no,no,dk,yes,38,,once a month,yes,1,middle class,1960,not used,a great deal,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,,,yes,neither agree nor disagree,good,,,,,,,,,,$60000 to 74999,,,married,,too little,,too little,,3,0,,1 partner,1 partner,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,south atlantic,south atlantic,"yes, in relationship",chrsitian,chrsitian,,protestant,somewhat strong,city gt 250000,,$30000 to 34999,73.199997,female,weekly,exclusively male,exclusively male,16,"suburb, 12 lrgst",,,,,,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,South
2136,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,28,,sevrl times a yr,yes,0,middle class,1970,not used,a great deal,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,no,strongly disagree,excellent,,,,,,,,,,$35000 to 39999,,,never married,too little,,too little,,,6,0,,1 partner,3 partners,strong democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,e  nor central,south atlantic,"yes, in relationship",catholic,catholic,,catholic,not very strong,big-city suburb,,$35000 to 39999,50.700001,female,2-3 per week,exclusively male,exclusively male,171,12 lrgst smsa's,,,,,,,,,,,,,,disagree,,,,,,,,0,working fulltime,"city,50-250000",Woman,South
2137,no,not wrong at all,yes,yes,no,no,almost always wrong,yes,53,,nrly every week,no,4,working class,1945,not used,a great deal,a great deal,graduate,,,,,,,,,,,,,,,,,,,,,,,20,moderate,,no,agree,poor,,,,,,,,,,$110000 or over,,,widowed,,too little,,too little,,1,0,,1 partner,1 partner,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,foreign,south atlantic,"yes, in relationship",catholic,moslem/islam,,catholic,not very strong,50000 to 250000,,$7 000 to 7 999,92.300003,female,weekly,exclusively male,exclusively male,171,12 lrgst smsa's,,,,,,,,,,,,,,not agree/dsagre,,,,,,,,0,keeping house,"city,50-250000",Woman,South
2138,yes,,yes,yes,yes,yes,,yes,51,yes,lt once a year,yes,3,middle class,1947,not used,,,high school,agree,disagree,agree,agree,agree,agree,agree,disagree,disagree,agree,disagree,uncertain,disagree,disagree,disagree,disagree,strong disagree,disagree,agree,disagree,yes,stongly agree,12,moderate,liberal,,,fair,yes covered,not agree/dsagre,agree,dont know,agree,agree,agree,disagree,stongly agree,$25000 to 29999,yes,yes,divorced,,about right,,too little,stongly agree,10,0,stongly agree,2 partners,2 partners,strong democrat,liberal,agree,not agree/dsagre,not agree/dsagre,agree,agree,agree,agree,disagree,agree,yes,12,2,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,very unlikely,somewht unlikely,somewhat likely,somewhat likely,very likely,disagree,disagree,strongly agree,agree,agree,agree,agree,mixed,,white,south atlantic,south atlantic,"no, no relationship",protestant,protestant,,,strong,"country,nonfarm",stongly agree,$25000 to 29999,78.699997,female,once or twice,exclusively male,exclusively male,171,12 lrgst smsa's,often,yes,no,no,no,stongly agree,agree,yes immed reltve,not agree/dsagre,agree,stongly agree,vignette b,1,,yes,no,mixed,mixed,very likely,very likely,almost all,9,working fulltime,"city,50-250000",Woman,South
2139,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,38,,never,yes,1,middle class,1960,not used,,,graduate,,,,,,,,,,,,,,,,,,,,,,,18,liberal,moderate,no,disagree,good,,,,,,,,,,,,yes,married,,about right,,dk,,0,4,,1 partner,1 partner,independent,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,pacific,south atlantic,"yes, in relationship",none,protestant,,protestant,no religion,big-city suburb,,refused,87.900002,male,2-3 times a month,exclusively female,exclusively female,171,12 lrgst smsa's,,yes,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"city,50-250000",Man,South
214,no,,no,no,no,no,,no,59,no,every week,yes,3,working class,1939,not used,,,high school,strongly agree,agree,agree,strongly agree,strongly agree,strongly agree,agree,agree,agree,agree,disagree,agree,disagree,agree,disagree,strongly agree,disagree,strongly agree,strongly agree,agree,yes,strong disagree,14,moderate,moderate,,,excellent,yes covered,strong disagree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,$30000 to 34999,yes,no,widowed,,about right,,too little,agree,1,0,agree,no partners,1 partner,not str democrat,moderate,not agree/dsagre,agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,agree,strong disagree,strongly agree,yes,4,,,very unlikely,very unlikely,somewhat likely,strong disagree,strong disagree,strong disagree,agree,very unlikely,somewhat likely,very unlikely,very unlikely,very unlikely,not agree/dsagre,strongly agree,not agree/dsagre,agree,not agree/dsagre,agree,agree,somewht unlikely,,white,mountain,pacific,"yes, in relationship",catholic,catholic,,,strong,farm,agree,$30000 to 34999,37.700001,female,not at all,,exclusively male,54,"suburb, 13-100",always,no,no,no,no,stongly agree,agree,no,disagree,stongly agree,disagree,vignette b,1,,yes,no,very unlikely,somewhat likely,very unlikely,somewhat likely,a little,6,school,"suburb, lrg city",Woman,West
2140,,dk,,,,,dk,,26,,sevrl times a yr,yes,0,middle class,1972,not used,a great deal,a great deal,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,liberal,liberal,no,disagree,excellent,,,,,,,,,,$25000 to 29999,,yes,never married,too little,,too little,,,8,0,,1 partner,4 partners,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,new england,south atlantic,"yes, in relationship",protestant,protestant,liberal,protestant,strong,town lt 50000,,$25000 to 29999,68.099998,female,2-3 per week,exclusively male,exclusively male,171,12 lrgst smsa's,,yes,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"city,50-250000",Woman,South
2141,no,not wrong at all,yes,yes,no,yes,wrong only sometimes,yes,28,,lt once a year,yes,0,middle class,1970,not used,,,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,no,neither agree nor disagree,excellent,,,,,,,,,,$25000 to 29999,,no,never married,,about right,,about right,,10,0,,2 partners,3 partners,,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,south atlantic,"yes, in relationship",protestant,protestant,liberal,protestant,not very strong,50000 to 250000,,$25000 to 29999,68.099998,female,2-3 per week,exclusively male,exclusively male,171,12 lrgst smsa's,,yes,yes,yes,yes,,,,,,,,,strong disagree,,,,,,,,0,working fulltime,"city,50-250000",Woman,South
2142,,,,,,,,,35,yes,more thn once wk,no,0,middle class,1963,used last time,a great deal,a great deal,graduate,agree,agree,agree,strong disagree,strong disagree,agree,disagree,strongly agree,disagree,agree,agree,agree,agree,disagree,agree,agree,strong disagree,disagree,disagree,disagree,no,strong disagree,20,,,,,good,yes covered,dont know,dont know,dont know,dont know,dont know,dont know,dont know,agree,$15000 to 17499,,no,never married,about right,,about right,,not agree/dsagre,0,,not agree/dsagre,1 partner,3 partners,independent,,,,,,,,,,,no,,,,,,,,,,,somewht unlikely,somewhat likely,somewhat likely,somewhat likely,very likely,not agree/dsagre,dont know,dont know,dont know,dont know,dont know,dont know,somewhat likely,,other,foreign,south atlantic,"no, no relationship",moslem/islam,moslem/islam,,,not very strong,city gt 250000,agree,$15000 to 17499,68.800003,male,once or twice,exclusively female,exclusively female,171,12 lrgst smsa's,hardly ever,no,no,no,no,strong disagree,agree,yes othr relatve,agree,strong disagree,stongly agree,vignette c,dk,,no,,somewht unlikely,somewhat likely,somewhat likely,somewhat likely,almost all,0,school,"city,50-250000",Man,South
2143,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,70,,sevrl times a yr,yes,2,working class,1928,not used,only some,a great deal,high school,,,,,,,,,,,,,,,,,,,,,,,14,moderate,moderate,no,disagree,good,,,,,,,,,,$10000 to 12499,,,divorced,too little,,too little,,,3,0,,no partners,no partners,not str republican,slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,south atlantic,"yes, in relationship",protestant,protestant,mainline,protestant,not very strong,farm,,,37.700001,female,not at all,,,49,"suburb, 12 lrgst",,,,,,,,,,,,,,disagree,,,,,,,,0,retired,"suburb, lrg city",Woman,South
2144,,,,,,,,,86,no,never,yes,2,middle class,1912,used last time,only some,only some,high school,agree,agree,agree,disagree,disagree,disagree,strong disagree,agree,disagree,agree,agree,uncertain,agree,disagree,disagree,disagree,disagree,disagree,agree,disagree,yes,agree,12,liberal,moderate,,,good,yes covered,dont know,disagree,not agree/dsagre,disagree,disagree,disagree,disagree,stongly agree,$10000 to 12499,no,yes,widowed,,too much,,about right,stongly agree,1,0,agree,no partners,no partners,independent,,cant choose,strong disagree,cant choose,cant choose,cant choose,agree,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,agree,dont know,dont know,very unlikely,very unlikely,very unlikely,dont know,disagree,dont know,dont know,dont know,not agree/dsagre,dont know,dont know,no,white,south atlantic,south atlantic,"yes, in relationship",protestant,protestant,,,not very strong,50000 to 250000,stongly agree,,,female,not at all,,,49,"suburb, 12 lrgst",,yes,no,no,no,stongly agree,stongly agree,yes immed reltve,disagree,agree,disagree,vignette d,agree,,no,no,very unlikely,very unlikely,mixed,mixed,,6,retired,"suburb, lrg city",Woman,South
2145,no,,yes,yes,yes,no,,yes,66,no,every week,no,3,working class,1932,not used,,,bachelor,agree,agree,strongly agree,,disagree,disagree,agree,agree,disagree,agree,agree,disagree,agree,agree,disagree,disagree,strongly agree,disagree,strongly agree,uncertain,yes,strong disagree,16,moderate,moderate,,,good,yes covered,disagree,agree,dont know,dont know,dont know,dont know,dont know,agree,$8 000 to 9 999,no,yes,married,about right,,about right,,disagree,1,0,disagree,1 partner,1 partner,independent,liberal,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,cant choose,cant choose,very unlikely,very likely,very unlikely,very unlikely,mixed,agree,agree,not agree/dsagre,agree,disagree,strongly agree,agree,very unlikely,no,other,foreign,south atlantic,"yes, in relationship",catholic,catholic,,,strong,city gt 250000,agree,,81.900002,female,not at all,exclusively male,exclusively male,49,"suburb, 12 lrgst",,yes,no,no,no,disagree,strong disagree,yes othr relatve,agree,strong disagree,stongly agree,vignette a,1,,no,no,somewht unlikely,mixed,very unlikely,very unlikely,,4,keeping house,"suburb, lrg city",Woman,South
2146,no,,no,no,no,no,,no,44,know know,every week,yes,3,middle class,1954,not used,,,high school,disagree,agree,uncertain,disagree,agree,disagree,disagree,agree,disagree,agree,uncertain,agree,uncertain,disagree,agree,uncertain,disagree,uncertain,disagree,disagree,yes,strong disagree,13,moderate,moderate,,,good,yes covered,agree,dont know,agree,dont know,disagree,not agree/dsagre,dont know,stongly agree,,not sure,,married,,dk,,dk,stongly agree,1,0,agree,1 partner,1 partner,independent,,cant choose,strong disagree,cant choose,cant choose,disagree,agree,strong disagree,strong disagree,cant choose,yes,dont know,,,very unlikely,very unlikely,mixed,strong disagree,disagree,not agree/dsagre,agree,somewhat likely,somewhat likely,very unlikely,very unlikely,somewhat likely,dont know,disagree,dont know,not agree/dsagre,dont know,agree,dont know,mixed,no,white,new england,south atlantic,"yes, in relationship",catholic,catholic,,,strong,city gt 250000,stongly agree,,38.400002,female,weekly,exclusively male,exclusively male,49,"suburb, 12 lrgst",,,,,,disagree,disagree,no,dont know,strong disagree,agree,vignette f,agree,,no,no,very unlikely,very unlikely,mixed,somewhat likely,,7,keeping house,"suburb, lrg city",Woman,South
2147,yes,,yes,yes,yes,yes,,yes,32,yes,once a year,yes,0,middle class,1966,not used,a great deal,a great deal,bachelor,agree,disagree,uncertain,uncertain,uncertain,agree,agree,agree,uncertain,uncertain,uncertain,uncertain,agree,uncertain,agree,uncertain,disagree,uncertain,agree,uncertain,yes,disagree,16,moderate,moderate,,,excellent,yes covered,dont know,agree,agree,agree,agree,agree,strongly agree,stongly agree,,yes,,never married,too little,,about right,,stongly agree,,10,stongly agree,no partners,2 partners,"ind,near dem",moderate,not agree/dsagre,disagree,not agree/dsagre,agree,agree,agree,agree,strong disagree,agree,yes,4,15,,mixed,mixed,mixed,strongly agree,agree,strongly agree,agree,somewht unlikely,somewht unlikely,mixed,mixed,mixed,disagree,disagree,dont know,agree,agree,strongly agree,agree,somewhat likely,,white,south atlantic,south atlantic,"yes, in relationship",catholic,catholic,,,not very strong,big-city suburb,stongly agree,refused,64.099998,male,not at all,,exclusively female,49,"suburb, 12 lrgst",always,,,,,not agree/dsagre,stongly agree,two or more,agree,agree,not agree/dsagre,vignette e,1,,no,no,very likely,very likely,very likely,very likely,a lot,6,working fulltime,"suburb, lrg city",Man,South
2148,yes,not wrong at all,yes,yes,yes,no,wrong only sometimes,yes,42,,once a year,yes,0,middle class,1956,not used,,,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,liberal,moderate,no,disagree,good,,,,,,,,,,$90000 - $109999,,yes,married,too little,,too little,,,0,20,,1 partner,5-10 partners,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,south atlantic,south atlantic,"yes, in relationship",none,catholic,,catholic,no religion,big-city suburb,,$60000 to 74999,73.599998,male,weekly,exclusively female,exclusively female,49,"suburb, 12 lrgst",,yes,no,no,no,,,,,,,,,disagree,,,,,,,,0,working fulltime,"suburb, lrg city",Man,South
2149,,,,,,,,,42,yes,2-3x a month,yes,2,working class,1956,not used,only some,only some,high school,agree,agree,agree,uncertain,agree,agree,uncertain,agree,disagree,disagree,uncertain,uncertain,uncertain,disagree,disagree,agree,disagree,strong disagree,agree,agree,no,strong disagree,13,liberal,liberal,,,good,yes covered,dont know,strongly agree,dont know,agree,strongly agree,strongly agree,agree,stongly agree,,no,yes,married,too little,,too little,,stongly agree,1,0,agree,1 partner,1 partner,not str republican,moderate,disagree,strong disagree,disagree,agree,not agree/dsagre,strongly agree,not agree/dsagre,strong disagree,not agree/dsagre,yes,17,,,very unlikely,very unlikely,mixed,strong disagree,strong disagree,disagree,agree,somewhat likely,somewht unlikely,somewhat likely,very likely,very likely,disagree,not agree/dsagre,strong disagree,agree,disagree,strongly agree,agree,somewhat likely,,white,w  nor central,south atlantic,"yes, in relationship",protestant,protestant,,,somewhat strong,city gt 250000,stongly agree,$25000 to 29999,38.400002,female,2-3 per week,exclusively male,exclusively male,49,"suburb, 12 lrgst",sometimes,yes,no,no,no,disagree,agree,no,dont know,disagree,dont know,vignette c,1,,no,no,very unlikely,mixed,mixed,very likely,a lot,7,working fulltime,"suburb, lrg city",Woman,South
215,,,,,,,,,29,no,sevrl times a yr,yes,1,working class,1969,not used,only some,only some,high school,disagree,agree,agree,disagree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,disagree,disagree,yes,stongly agree,14,,,,,good,yes covered,agree,disagree,strongly agree,disagree,disagree,disagree,disagree,stongly agree,$50000 to 59999,yes,yes,married,,too little,,too little,stongly agree,1,0,stongly agree,1 partner,1 partner,not str democrat,slightly liberal,disagree,disagree,agree,agree,strongly agree,strongly agree,disagree,disagree,strongly agree,yes,1,14,,somewht unlikely,somewht unlikely,somewht unlikely,disagree,disagree,disagree,disagree,somewht unlikely,very likely,very unlikely,very unlikely,very unlikely,disagree,disagree,strongly agree,agree,strongly agree,strongly agree,disagree,somewht unlikely,no,white,pacific,pacific,"yes, in relationship",,,,,,town lt 50000,stongly agree,$6 000 to 6 999,33.299999,female,2-3 per week,exclusively male,exclusively male,54,"suburb, 13-100",,yes,no,no,no,stongly agree,stongly agree,yes othr relatve,agree,agree,agree,vignette d,1,,no,no,somewht unlikely,somewht unlikely,somewht unlikely,somewht unlikely,,4,keeping house,"suburb, lrg city",Woman,West
2150,,,,,,,,,29,yes,never,yes,2,middle class,1969,not used,only some,only some,junior college,disagree,disagree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,uncertain,agree,disagree,disagree,agree,disagree,disagree,disagree,disagree,yes,not agree/dsagre,14,liberal,fundamentalist,,,excellent,yes covered,not agree/dsagre,disagree,not agree/dsagre,disagree,disagree,disagree,disagree,stongly agree,,yes,no,married,too little,,too little,,stongly agree,4,2,agree,1 partner,2 partners,not str republican,conservative,disagree,strong disagree,agree,agree,disagree,agree,not agree/dsagre,strong disagree,agree,yes,2,8,50,very unlikely,very unlikely,very likely,strong disagree,not agree/dsagre,strongly agree,not agree/dsagre,somewhat likely,somewht unlikely,very unlikely,very unlikely,very unlikely,strongly agree,strongly agree,strongly agree,disagree,disagree,not agree/dsagre,not agree/dsagre,somewhat likely,no,white,w  sou central,south atlantic,"yes, in relationship",none,protestant,,,no religion,"country,nonfarm",stongly agree,,64.099998,female,4+ per week,exclusively male,exclusively male,49,"suburb, 12 lrgst",,yes,no,no,no,agree,agree,no,not agree/dsagre,agree,strong disagree,vignette c,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,,7,keeping house,"suburb, lrg city",Woman,South
2151,no,,yes,yes,no,no,,yes,40,yes,sevrl times a yr,yes,0,middle class,1958,used last time,a great deal,a great deal,bachelor,,strong disagree,agree,uncertain,agree,agree,strongly agree,agree,,uncertain,,agree,,agree,agree,disagree,disagree,strong disagree,agree,uncertain,yes,stongly agree,16,liberal,moderate,,,excellent,yes covered,strong disagree,agree,agree,agree,agree,strongly agree,dont know,stongly agree,$60000 to 74999,yes,,never married,,too little,,too little,stongly agree,0,,stongly agree,"1 or more, dk #",5-10 partners,not str republican,moderate,cant choose,agree,agree,agree,agree,agree,agree,strong disagree,cant choose,yes,1,16,,dk,dk,dk,strong disagree,cant choose,cant choose,cant choose,somewhat likely,dont know,dont know,dont know,dont know,dont know,strongly agree,agree,agree,agree,strongly agree,dont know,dont know,,white,middle atlantic,south atlantic,"no, no relationship",none,catholic,,,no religion,town lt 50000,stongly agree,$60000 to 74999,54.700001,male,weekly,exclusively female,exclusively female,49,"suburb, 12 lrgst",often,,,,,dont know,stongly agree,yes friend,stongly agree,agree,dont know,vignette f,agree,,no,no,somewht unlikely,somewht unlikely,dont know,dont know,almost all,8,working fulltime,"suburb, lrg city",Man,South
2152,,,,,,,,,37,know know,every week,no,2,lower class,1961,,hardly any,only some,junior college,,,disagree,,disagree,agree,disagree,uncertain,agree,disagree,disagree,agree,disagree,agree,strong disagree,agree,agree,strong disagree,agree,agree,yes,strong disagree,14,,,,,good,yes covered,disagree,disagree,disagree,agree,agree,agree,strongly agree,stongly agree,$17500 to 19999,,no,divorced,,too little,,too little,strong disagree,,,disagree,no partners,no partners,not str democrat,,,,,,,,,,,no,,,,,,,,,,,very likely,somewhat likely,very unlikely,very unlikely,somewhat likely,agree,strongly agree,not agree/dsagre,agree,agree,agree,agree,somewhat likely,,black,foreign,south atlantic,,moslem/islam,moslem/islam,,,strong,city gt 250000,disagree,$17500 to 19999,76.400002,female,not at all,,,111,"suburb, 12 lrgst",sometimes,no,no,no,no,disagree,strong disagree,no,dont know,agree,stongly agree,vignette d,1,,no,,somewhat likely,somewhat likely,somewhat likely,very likely,almost none,3,working fulltime,"suburb, lrg city",Woman,South
2153,,always wrong,,,,,always wrong,,32,,once a year,no,5,middle class,1966,not used,only some,a great deal,high school,,,,,,,,,,,,,,,,,,,,,,,12,,,no,disagree,good,,,,,,,,,,$30000 to 34999,,no,married,too little,,too little,,,1,0,,1 partner,1 partner,not str democrat,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,foreign,south atlantic,"yes, in relationship",moslem/islam,moslem/islam,,moslem,,"country,nonfarm",,,,female,weekly,exclusively male,exclusively male,111,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,agree,,,,,,,,0,school,"suburb, lrg city",Woman,South
2154,no,,no,no,no,no,,no,51,no,more thn once wk,yes,1,working class,1947,not used,a great deal,a great deal,bachelor,agree,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,strongly agree,agree,disagree,agree,agree,disagree,disagree,disagree,disagree,disagree,disagree,yes,strong disagree,16,moderate,liberal,,,good,yes covered,disagree,strongly agree,agree,agree,strongly agree,strongly agree,strongly agree,stongly agree,$50000 to 59999,yes,,widowed,too little,,too little,,not agree/dsagre,1,0,disagree,no partners,no partners,"ind,near rep",moderate,agree,strongly agree,not agree/dsagre,agree,agree,agree,agree,disagree,strongly agree,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewhat likely,very unlikely,very unlikely,very unlikely,very unlikely,disagree,strongly agree,strongly agree,agree,agree,strongly agree,disagree,very likely,,white,foreign,south atlantic,"yes, in relationship",protestant,none,,,strong,town lt 50000,agree,$50000 to 59999,83.699997,female,not at all,,,111,"suburb, 12 lrgst",hardly ever,,,,,strong disagree,stongly agree,yes myself,agree,dont know,stongly agree,vignette e,1,,no,no,somewht unlikely,somewht unlikely,very unlikely,very unlikely,almost all,10,working fulltime,"suburb, lrg city",Woman,South
2155,yes,dk,yes,yes,yes,yes,dk,yes,23,,every week,yes,1,working class,1975,not used,only some,only some,junior college,,,,,,,,,,,,,,,,,,,,,,,14,fundamentalist,fundamentalist,no,disagree,good,,,,,,,,,,$15000 to 17499,,,divorced,about right,,too little,,,30,0,,4 partners,21-100 partners,"ind,near dem",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,e  sou central,south atlantic,"yes, in relationship",protestant,protestant,none,protestant,not very strong,50000 to 250000,,$12500 to 14999,26.4,female,4+ per week,exclusively female,exclusively female,111,"suburb, 12 lrgst",,,,,,,,,,,,,,agree,,,,,,,,0,working fulltime,"suburb, lrg city",Woman,South
